number_of_reviews,price,,N,mean,sd,,
0,$94.00 ,,,,,,
0,$110.00 ,,,,,,
0,$99.00 ,,,,,,
0,$275.00 ,,,,,,
0,$65.00 ,,,,,,
0,$100.00 ,,,,,,
0,$100.00 ,,,,,,
0,$145.00 ,,,,,,
0,$99.00 ,,,,,,
0,$85.00 ,,,,,,
0,$240.00 ,,,,,,
0,$165.00 ,,,,,,
0,$120.00 ,,,,,,
0,$75.00 ,,,,,,
0,$259.00 ,,,,,,
0,$89.00 ,,,,,,
0,$150.00 ,,,,,,
0,$175.00 ,,,,,,
0,$150.00 ,,,,,,
0,$119.00 ,,,,,,
0,$105.00 ,,,,,,
0,$149.00 ,,,,,,
0,$65.00 ,,,,,,
0,$75.00 ,,,,,,
0,$80.00 ,,,,,,
0,$299.00 ,,,,,,
0,$175.00 ,,,,,,
0,$210.00 ,,,,,,
0,$49.00 ,,,,,,
0,$95.00 ,,,,,,
0,$171.00 ,,,,,,
0,$55.00 ,,,,,,
0,$99.00 ,,,,,,
0,$80.00 ,,,,,,
0,$450.00 ,,,,,,
0,$75.00 ,,,,,,
0,$49.00 ,,,,,,
0,$36.00 ,,,,,,
0,$199.00 ,,,,,,
0,$73.00 ,,,,,,
0,$70.00 ,,,,,,
0,$100.00 ,,,,,,
0,$129.00 ,,,,,,
0,$99.00 ,,,,,,
0,$150.00 ,,,,,,
0,$207.00 ,,,,,,
0,$100.00 ,,,,,,
0,$95.00 ,,,,,,
0,$160.00 ,,,,,,
0,$400.00 ,,,,,,
0,$175.00 ,,,,,,
0,$350.00 ,,,,,,
0,$95.00 ,,,,,,
0,$50.00 ,,,,,,
0,$175.00 ,,,,,,
0,$99.00 ,,,,,,
0,$52.00 ,,,,,,
0,$105.00 ,,,,,,
0,$110.00 ,,,,,,
0,$300.00 ,,,,,,
0,$115.00 ,,,,,,
0,$200.00 ,,,,,,
0,$125.00 ,,,,,,
0,$68.00 ,,,,,,
0,$350.00 ,,,,,,
0,$80.00 ,,,,,,
0,$300.00 ,,,,,,
0,$97.00 ,,,,,,
0,$110.00 ,,,,,,
0,$100.00 ,,,,,,
0,$65.00 ,,,,,,
0,$59.00 ,,,,,,
0,$75.00 ,,,,,,
0,$275.00 ,,,,,,
0,$190.00 ,,,,,,
0,$60.00 ,,,,,,
0,$150.00 ,,,,,,
0,$90.00 ,,,,,,
0,$100.00 ,,,,,,
0,$90.00 ,,,,,,
0,$150.00 ,,,,,,
0,$125.00 ,,,,,,
0,$100.00 ,,,,,,
0,$146.00 ,,,,,,
0,$85.00 ,,,,,,
0,$399.00 ,,,,,,
0,$50.00 ,,,,,,
0,$200.00 ,,,,,,
0,$162.00 ,,,,,,
0,$52.00 ,,,,,,
0,$100.00 ,,,,,,
0,$152.00 ,,,,,,
0,$100.00 ,,,,,,
0,$138.00 ,,,,,,
0,$100.00 ,,,,,,
0,$50.00 ,,,,,,
0,$449.00 ,,,,,,
0,$155.00 ,,,,,,
0,$125.00 ,,,,,,
0,$350.00 ,,,,,,
0,$183.00 ,,,,,,
0,$149.00 ,,,,,,
0,$200.00 ,,,,,,
0,$100.00 ,,,,,,
0,$100.00 ,,,,,,
0,$95.00 ,,,,,,
0,$70.00 ,,,,,,
0,$35.00 ,,,,,,
0,$35.00 ,,,,,,
0,$195.00 ,,,,,,
0,$125.00 ,,,,,,
0,$75.00 ,,,,,,
0,$120.00 ,,,,,,
0,$112.00 ,,,,,,
0,$100.00 ,,,,,,
0,$99.00 ,,,,,,
0,$125.00 ,,,,,,
0,$55.00 ,,,,,,
0,$109.00 ,,,,,,
0,$185.00 ,,,,,,
0,$200.00 ,,,,,,
0,$93.00 ,,,,,,
0,$99.00 ,,,,,,
0,$87.00 ,,,,,,
1,$109.00 ,,,,,,
1,$110.00 ,,,,,,
1,$450.00 ,,,,,,
1,$600.00 ,,,,,,
1,$160.00 ,,,,,,
1,$70.00 ,,,,,,
1,$225.00 ,,,,,,
1,$197.00 ,,,,,,
1,$180.00 ,,,,,,
1,$90.00 ,,,,,,
1,$50.00 ,,,,,,
1,$250.00 ,,,,,,
1,$150.00 ,,,,,,
1,$100.00 ,,,,,,
1,$85.00 ,,,,,,
1,$105.00 ,,,,,,
1,$275.00 ,,,,,,
1,$196.00 ,,,,,,
1,$209.00 ,,,,,,
1,$130.00 ,,,,,,
1,$175.00 ,,,,,,
1,$80.00 ,,,,,,
1,$95.00 ,,,,,,
1,$180.00 ,,,,,,
1,$103.00 ,,,,,,
1,$75.00 ,,,,,,
1,$250.00 ,,,,,,
1,$99.00 ,,,,,,
1,$158.00 ,,,,,,
1,$100.00 ,,,,,,
1,$42.00 ,,,,,,
1,$50.00 ,,,,,,
1,$40.00 ,,,,,,
1,$105.00 ,,,,,,
1,$259.00 ,,,,,,
1,$95.00 ,,,,,,
1,$249.00 ,,,,,,
1,$245.00 ,,,,,,
1,$155.00 ,,,,,,
1,$140.00 ,,,,,,
1,$60.00 ,,,,,,
1,$75.00 ,,,,,,
1,$40.00 ,,,,,,
1,$160.00 ,,,,,,
1,$50.00 ,,,,,,
1,$100.00 ,,,,,,
1,$209.00 ,,,,,,
1,$250.00 ,,,,,,
1,$99.00 ,,,,,,
1,$100.00 ,,,,,,
1,$235.00 ,,,,,,
1,$80.00 ,,,,,,
1,$450.00 ,,,,,,
1,$130.00 ,,,,,,
1,$300.00 ,,,,,,
1,$99.00 ,,,,,,
1,$59.00 ,,,,,,
1,$250.00 ,,,,,,
1,$300.00 ,,,,,,
1,$75.00 ,,,,,,
1,$45.00 ,,,,,,
1,$99.00 ,,,,,,
1,$150.00 ,,,,,,
1,$200.00 ,,,,,,
1,$375.00 ,,,,,,
1,$189.00 ,,,,,,
1,$250.00 ,,,,,,
1,$155.00 ,,,,,,
1,$110.00 ,,,,,,
1,$250.00 ,,,,,,
1,$68.00 ,,,,,,
1,$35.00 ,,,,,,
1,$109.00 ,,,,,,
1,$75.00 ,,,,,,
1,$109.00 ,,,,,,
1,$55.00 ,,,,,,
1,$350.00 ,,,,,,
1,$95.00 ,,,,,,
1,$30.00 ,,,,,,
1,$125.00 ,,,,,,
1,$70.00 ,,,,,,
1,$53.00 ,,,,,,
1,$92.00 ,,,,,,
1,$70.00 ,,,,,,
1,$120.00 ,,,,,,
1,$185.00 ,,,,,,
1,$306.00 ,,,,,,
1,$50.00 ,,,,,,
1,$85.00 ,,,,,,
1,$40.00 ,,,,,,
1,$118.00 ,,,,,,
1,$150.00 ,,,,,,
1,$165.00 ,,,,,,
1,$115.00 ,,,,,,
1,$67.00 ,,,,,,
1,$150.00 ,,,,,,
1,$115.00 ,,,,,,
1,$270.00 ,,,,,,
1,$200.00 ,,,,,,
1,$325.00 ,,,,,,
1,$287.00 ,,,,,,
1,$279.00 ,,,,,,
1,$90.00 ,,,,,,
1,$257.00 ,,,,,,
1,$75.00 ,,,,,,
1,$60.00 ,,,,,,
1,$120.00 ,,,,,,
1,$140.00 ,,,,,,
1,$90.00 ,,,,,,
1,$125.00 ,,,,,,
1,$120.00 ,,,,,,
1,$168.00 ,,,,,,
1,$80.00 ,,,,,,
1,$149.00 ,,,,,,
1,$95.00 ,,,,,,
1,$150.00 ,,,,,,
1,$90.00 ,,,,,,
1,$110.00 ,,,,,,
1,$75.00 ,,,,,,
1,$178.00 ,,,,,,
1,$175.00 ,,,,,,
1,$350.00 ,,,,,,
1,$50.00 ,,,,,,
1,$130.00 ,,,,,,
1,$157.00 ,,,,,,
1,$700.00 ,,,,,,
1,$80.00 ,,,,,,
1,$181.00 ,,,,,,
1,$139.00 ,,,,,,
1,$150.00 ,,,,,,
1,$270.00 ,,,,,,
1,$120.00 ,,,,,,
1,$115.00 ,,,,,,
1,$120.00 ,,,,,,
1,$239.00 ,,,,,,
1,$229.00 ,,,,,,
1,$139.00 ,,,,,,
1,$130.00 ,,,,,,
1,$95.00 ,,,,,,
1,$150.00 ,,,,,,
1,$79.00 ,,,,,,
1,$130.00 ,,,,,,
1,$150.00 ,,,,,,
1,$219.00 ,,,,,,
1,$100.00 ,,,,,,
1,$300.00 ,,,,,,
1,$300.00 ,,,,,,
1,$200.00 ,,,,,,
1,$132.00 ,,,,,,
1,$121.00 ,,,,,,
1,$129.00 ,,,,,,
1,$170.00 ,,,,,,
1,$175.00 ,,,,,,
1,$150.00 ,,,,,,
1,$109.00 ,,,,,,
1,$120.00 ,,,,,,
1,$150.00 ,,,,,,
1,$500.00 ,,,,,,
1,$90.00 ,,,,,,
1,$120.00 ,,,,,,
1,$140.00 ,,,,,,
1,$70.00 ,,,,,,
1,$350.00 ,,,,,,
1,$65.00 ,,,,,,
1,$250.00 ,,,,,,
1,$159.00 ,,,,,,
1,$135.00 ,,,,,,
1,$235.00 ,,,,,,
1,$60.00 ,,,,,,
1,$225.00 ,,,,,,
1,$200.00 ,,,,,,
1,$120.00 ,,,,,,
1,$370.00 ,,,,,,
1,$200.00 ,,,,,,
1,$49.00 ,,,,,,
1,$250.00 ,,,,,,
1,$50.00 ,,,,,,
1,$215.00 ,,,,,,
1,$62.00 ,,,,,,
1,$40.00 ,,,,,,
1,$40.00 ,,,,,,
1,$100.00 ,,,,,,
1,$69.00 ,,,,,,
1,$60.00 ,,,,,,
1,$89.00 ,,,,,,
1,$55.00 ,,,,,,
1,$120.00 ,,,,,,
1,$244.00 ,,,,,,
1,$125.00 ,,,,,,
1,$38.00 ,,,,,,
1,$200.00 ,,,,,,
1,$300.00 ,,,,,,
1,$195.00 ,,,,,,
1,$150.00 ,,,,,,
1,$49.00 ,,,,,,
1,$80.00 ,,,,,,
1,$150.00 ,,,,,,
1,$49.00 ,,,,,,
1,$81.00 ,,,,,,
1,$250.00 ,,,,,,
1,$98.00 ,,,,,,
1,$160.00 ,,,,,,
1,$250.00 ,,,,,,
1,$85.00 ,,,,,,
1,$75.00 ,,,,,,
1,$85.00 ,,,,,,
1,$109.00 ,,,,,,
1,$75.00 ,,,,,,
1,$39.00 ,,,,,,
1,$110.00 ,,,,,,
1,$50.00 ,,,,,,
1,$115.00 ,,,,,,
1,$99.00 ,,,,,,
1,$79.00 ,,,,,,
1,$47.00 ,,,,,,
1,$150.00 ,,,,,,
1,$45.00 ,,,,,,
1,$162.00 ,,,,,,
1,$185.00 ,,,,,,
1,$62.00 ,,,,,,
1,$59.00 ,,,,,,
1,$53.00 ,,,,,,
1,$55.00 ,,,,,,
1,$150.00 ,,,,,,
1,$175.00 ,,,,,,
1,$99.00 ,,,,,,
1,$135.00 ,,,,,,
1,$69.00 ,,,,,,
1,$39.00 ,,,,,,
1,$68.00 ,,,,,,
1,$600.00 ,,,,,,
1,$150.00 ,,,,,,
1,$250.00 ,,,,,,
1,$80.00 ,,,,,,
1,$70.00 ,,,,,,
1,$105.00 ,,,,,,
1,$69.00 ,,,,,,
1,$134.00 ,,,,,,
1,$120.00 ,,,,,,
1,$69.00 ,,,,,,
1,$85.00 ,,,,,,
1,$250.00 ,,,,,,
1,$200.00 ,,,,,,
1,$75.00 ,,,,,,
1,$200.00 ,,,,,,
1,$200.00 ,,,,,,
1,$68.00 ,,,,,,
1,$72.00 ,,,,,,
1,$40.00 ,,,,,,
1,"$1,000.00 ",,,,,,
1,$125.00 ,,,,,,
1,$86.00 ,,,,,,
1,$84.00 ,,,,,,
1,$103.00 ,,,,,,
1,$119.00 ,,,,,,
1,$200.00 ,,,,,,
1,$205.00 ,,,,,,
1,$199.00 ,,,,,,
1,$100.00 ,,,,,,
1,$119.00 ,,,,,,
1,$190.00 ,,,,,,
1,$150.00 ,,,,,,
1,$200.00 ,,,,,,
1,$75.00 ,,,,,,
1,$70.00 ,,,,,,
1,$80.00 ,,,,,,
1,$250.00 ,,,,,,
1,$170.00 ,,,,,,
1,$90.00 ,,,,,,
1,$97.00 ,,,,,,
1,$150.00 ,,,,,,
1,$55.00 ,,,,,,
1,$88.00 ,,,,,,
1,$79.00 ,,,,,,
1,$195.00 ,,,,,,
1,$239.00 ,,,,,,
1,$349.00 ,,,,,,
1,$105.00 ,,,,,,
1,$117.00 ,,,,,,
1,$550.00 ,,,,,,
1,$225.00 ,,,,,,
1,$80.00 ,,,,,,
1,$200.00 ,,,,,,
1,$139.00 ,,,,,,
1,$139.00 ,,,,,,
